name                 |optical_name|ra         |dec        |porb   |fx_limit|fx      |fx_max |xray_type|lii      |bii      |position_type|ref_optical|vmag_limit|vmag |vmag_min|vmag_flag|bv_color|bv_color_flag|bv_color_max|ub_color|reddening|reddening_max|reddening_flag|ref_photometry |jmag  |hmag_limit|hmag  |kmag_limit|kmag  |fx_range      |ref_fx     |porb_flag|pulse_per |pulse_per_flag|ref_periods|spect_type  |alt_name_1           |alt_name_1_flag|alt_name_2  |alt_name_3|class                                  |
4U 2206+543          |BD +53 2790 |22 07 56.20|+54 31 06.0|  9.570|        |    0.60|    5.5|C        |100.60312| -1.10596|O            |728        |          | 9.85|        |         |    0.20|             |            |   -0.60|     0.50|             |              |728,555        | 9.218|          | 9.116|          | 9.038|              |815,850    |         |          |              |134,654    |O9.5Ve      |3A 2206+543          |               |            |          |                          HMXRB BE STAR|
XTE J0421+560        |CI Cam      |04 19 42.20|+55 59 59.0| 19.410|        | 2000.00|       |T, R     |149.17637|  4.13342|O            |176        |          | 9.25|   11.83|         |    1.00|             |            |   -0.40|     0.80|             |              |104,105,327    | 7.502|          | 5.741|          | 4.323|              |37,712     |         |          |              |28         |sgB[e]      |                     |               |            |          |                          HMXRB BE STAR|
1H 2138+579          |V490 Cep    |21 39 30.60|+56 59 12.9|       |&lt;       |    6.00|  100.0|P, T, C  | 99.01253|  3.31318|O            |53         |          |14.29|        |         |        |             |            |        |     1.30|             |              |53, 53         |11.829|          |11.414|          |10.926|              |402        |         |   66.2000|              |402,547    |B1-B2Ve     |Cep X-4              |               |            |          |             HMXRB BE STAR X-RAY PULSAR|
2S 0053+604          |gamma Cas   |00 56 42.50|+60 43 00.0|203.590|        |    5.00|   11.0|R        |123.57681| -2.14848|O            |175        |          | 1.60|    3.00|         |   -0.15|             |            |   -1.08|     0.05|             |              |528            | 2.039|          | 1.993|          | 1.756|              |64         |         |          |              |279        |B0.5 Ve     |3A 0053+604          |               |            |          |                          HMXRB BE STAR|
1E 0236.6+6100       |LS I +61 303|02 40 31.70|+61 13 46.0| 26.496|        |    0.20|       |R        |135.67529|  1.08626|O,R          |278        |          |10.70|        |         |    0.80|             |            |   -0.30|     0.75|             |              |179,316,726    | 8.621|          | 8.228|          | 7.917|(0.2--5 keV)  |43         |         |          |              |755,254    |B0Ve        |                     |               |V615 Cas    |          |                          HMXRB BE STAR|
SAX J2239.3+6116     |star        |22 39 20.90|+61 16 26.8|262.000|        |   16.00|       |T, P     |107.73456|  2.36233|O            |340        |          |15.10|        |         |    1.40|             |            |        |     1.40|             |              |340            |11.450|          |10.955|          |10.557|              |340        |         | 1247.0000|              |340,341    |B0V-B2IIIe  |1H 2214+589          |               |            |          |             HMXRB BE STAR X-RAY PULSAR|
RX J0146.9+6121      |LS I +61 235|01 47 00.20|+61 21 23.7|       |        |    1.00|    3.0|         |129.54108| -0.80010|O            |278        |          |11.45|        |         |    0.62|             |            |   -0.41|     0.87|             |              |116,634        | 9.899|          | 9.700|          | 9.486|(0.1--2.4 keV)|538        |         | 1404.2000|              |266        |B1Ve        |                     |               |V831 Cas    |          |                          HMXRB BE STAR|
IGR J00370+6122      |BD +60 73   |00 37 10.00|+61 21 35.0| 15.665|        |    8.00|       |         |121.22213| -1.46464|O            |           |          | 9.65|        |         |    0.56|             |            |        |     0.75|             |              |640            | 8.389|          | 8.265|          | 8.166|(2--28 keV)   |165        |         |          |              |165        |B0.5II-III  |1RXS J003709.6+612131|               |LS I +61 161|          |                                  HMXRB|
4U 0115+634          |V635 Cas    |01 18 31.90|+63 44 24.0| 24.300|&lt;       |    2.00|  350.0|T, P, C  |125.92366|  1.02574|O            |361        |          |14.50|   16.30|         |    1.40|             |            |    0.30|     1.50|             |              |507,554,784    |11.622|          |11.023|          |10.629|              |64         |         |    3.6100|              |547,625    |B0.2Ve      |4U 0115+63           |               |            |          |             HMXRB BE STAR X-RAY PULSAR|
2S 0114+650          |V662 Cas    |01 18 02.70|+65 17 30.0| 11.600|        |    4.00|       |P, C?    |125.70998|  2.56353|O            |175        |          |11.00|        |         |    1.20|             |            |    0.10|     1.40|             |              |2,148          | 8.597|          | 8.296|          | 8.107|              |64         |         |10008.0000|              |148,210    |B0.5 Ib     |                     |               |LS I +65 010|          |          HMXRB SUPERGIANT X-RAY PULSAR|
IGR J01363+6610      |EM* GGR 212 |01 35 50.00|+66 12 40.0|       |        |    9.00|       |T        |127.39482|  3.72480|O            |640        |          |13.29|        |         |    1.39|             |            |        |     1.61|             |              |640            |10.039|          | 9.565|          | 9.121|(17--45 keV)  |251        |         |          |              |           |B1Ve        |                     |               |            |          |                          HMXRB BE STAR|
IGR J01583+6713      |            |01 58 18.44|+67 13 23.5|       |        |   14.00|       |T        |129.35216|  5.18871|O            |           |          |     |        |         |        |             |            |        |         |             |              |270            |11.481|          |11.033|          |10.601|(20--40 keV)  |729        |         |          |              |           |Be          |                     |               |            |          |                          HMXRB BE STAR|
